Code,Description of Goods
00.00.28.43,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals."
28.43.10.00-00,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals. - Colloidal precious metals"
28.43.21.00-00,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals. - Silver compounds: - Silver nitrate"
28.43.29.00-00,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals. - Silver compounds: - Other"
28.43.30.00-00,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals. - Gold compounds"
28.43.90.00-00,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals. - Other compounds; amalgams"
00.00.28.44,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products.
28.44.10.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds"
28.44.20.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products"
28.44.30.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Uranium depleted in U235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U235, thorium or compounds of these products"
28.44.41.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Tritium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing tritium or its compounds"
28.44.42.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Actinium-225, actinium-227, californium-253, curium-240, curium-241, curium-242, curium-243, curium-244, einsteinium-253, einsteinium-254, gadolinium-148, polonium-208, polonium-209, polonium-210, radium-223, uranium-230 or uranium-232, and their compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements or compounds"
28.44.43.00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Other radioactive elements and isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds"
28.44.43.00-11,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Other radioactive elements and isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds - Other radioactive elements and isotopes and compounds: - Of cobalt 60 radioactivity only"
28.44.43.00-19,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Other radioactive elements and isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds - Other radioactive elements and isotopes and compounds: - Other"
28.44.43.00-90,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Other radioactive elements and isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds - Other"
28.44.44.00-00,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues: - Radioactive residues"
28.44.50.00-00,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products. - Spent (irradiated) fuel elements (cartridges) of nuclear reactors
00.00.28.45,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined."
28.45.10.00-00,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined.
 - Heavy water (deuterium oxide)"
28.45.20.00-00,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined.
 - Boron enriched in boron-10 and its compounds"
28.45.30.00-00,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined.
 - Lithium enriched in lithium-6 and its compounds"
28.45.40.00-00,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined.
 - Helium-3"
28.45.90.00-00,"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined.
 - Other"
00.00.28.46,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals."
28.46.10.00-00,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals. - Cerium compounds"
28.46.90.00-00,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals. - Other"
28.47.00.00,"Hydrogen peroxide, whether or not solidified with urea."
28.47.00.00-10,"Hydrogen peroxide, whether or not solidified with urea. - Not solidified with urea"
28.47.00.00-20,"Hydrogen peroxide, whether or not solidified with urea. - Solidified with urea (urea hydrogen peroxide)"
00.00.28.49,"Carbides, whether or not chemically defined."
28.49.10.00-00,"Carbides, whether or not chemically defined. - Of calcium"
28.49.20.00-00,"Carbides, whether or not chemically defined. - Of silicon"
28.49.90.00,"Carbides, whether or not chemically defined. - Other"
28.49.90.00-10,"Carbides, whether or not chemically defined. - Other - Tungsten carbide"
28.49.90.00-90,"Carbides, whether or not chemically defined. - Other - Other"
28.50.00.00-00,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49."
00.00.28.52,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams."
28.52.10.00-00,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams. - Chemically defined"
00.28.52.90,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams. - Other"
28.52.90.10-00,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams. - Other - Mercury albuminate;
Nucleoproteids of mercury"
28.52.90.90-00,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams. - Other - Other"
00.00.28.53,"Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals."
28.53.10.00-00,"Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals. - Cyanogen chloride (chlorcyan)"
28.53.90.00-00,"Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals. - Other"
00.00.29.01,Acyclic hydrocarbons.
29.01.10.00,Acyclic hydrocarbons. - Saturated
29.01.10.00-11,Acyclic hydrocarbons. - Saturated - Butanes: - n-Butane
29.01.10.00-12,Acyclic hydrocarbons. - Saturated - Butanes: - 2-Methylpropane (isobutane)
29.01.10.00-20,Acyclic hydrocarbons. - Saturated - Hexanes
29.01.10.00-30,Acyclic hydrocarbons. - Saturated - Pentanes
29.01.10.00-40,Acyclic hydrocarbons. - Saturated - Ethane
29.01.10.00-90,Acyclic hydrocarbons. - Saturated - Other
29.01.21.00-00,Acyclic hydrocarbons. - Unsaturated: - Ethylene
29.01.22.00-00,Acyclic hydrocarbons. - Unsaturated: - Propene (propylene)
29.01.23.00,Acyclic hydrocarbons. - Unsaturated: - Butene (butylene) and isomers thereof
29.01.23.00-10,Acyclic hydrocarbons. - Unsaturated: - Butene (butylene) and isomers thereof - 1-Butene
29.01.23.00-20,Acyclic hydrocarbons. - Unsaturated: - Butene (butylene) and isomers thereof - Isobutene
29.01.23.00-90,Acyclic hydrocarbons. - Unsaturated: - Butene (butylene) and isomers thereof - Other
29.01.24.00-00,"Acyclic hydrocarbons. - Unsaturated: - Buta-1,3-diene and isoprene"
29.01.29.00,Acyclic hydrocarbons. - Unsaturated: - Other
29.01.29.00-11,"Acyclic hydrocarbons. - Unsaturated: - Other - Linear alpha olefins, unmixed: - 1-Octene"
29.01.29.00-12,"Acyclic hydrocarbons. - Unsaturated: - Other - Linear alpha olefins, unmixed: - 1-Hexene"
29.01.29.00-19,"Acyclic hydrocarbons. - Unsaturated: - Other - Linear alpha olefins, unmixed: - Other"
29.01.29.00-91,Acyclic hydrocarbons. - Unsaturated: - Other - Other: - Nonenes
29.01.29.00-99,Acyclic hydrocarbons. - Unsaturated: - Other - Other: - Other
00.00.29.02,Cyclic hydrocarbons.
29.02.11.00-00,"Cyclic hydrocarbons. - Cyclanes, cyclenes and cycloterpenes: - Cyclohexane"
29.02.19.00-00,"Cyclic hydrocarbons. - Cyclanes, cyclenes and cycloterpenes: - Other"
29.02.20.00-00,Cyclic hydrocarbons. - Benzene
29.02.30.00-00,Cyclic hydrocarbons. - Toluene
29.02.41.00-00,Cyclic hydrocarbons. - Xylenes: - o-Xylene
29.02.42.00-00,Cyclic hydrocarbons. - Xylenes: - m-Xylene
29.02.43.00-00,Cyclic hydrocarbons. - Xylenes: - p-Xylene
29.02.44.00-00,Cyclic hydrocarbons. - Xylenes: - Mixed xylene isomers
29.02.50.00-00,Cyclic hydrocarbons. - Styrene
29.02.60.00-00,Cyclic hydrocarbons. - Ethylbenzene
29.02.70.00-00,Cyclic hydrocarbons. - Cumene
29.02.90.00,Cyclic hydrocarbons. - Other
29.02.90.00-30,Cyclic hydrocarbons. - Other - Naphthalene
29.02.90.00-90,Cyclic hydrocarbons. - Other - Other
00.00.29.03,Halogenated derivatives of hydrocarbons.
29.03.11.00-00,Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Chloromethane (methyl chloride) and chloroethane (ethyl chloride)
29.03.12.00-00,Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Dichloromethane (methylene chloride)
29.03.13.00-00,Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Chloroform (trichloromethane)
29.03.14.00-00,Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Carbon tetrachloride
29.03.15.00-00,"Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Ethylene dichloride (ISO) (1,2-dichloroethane)"
29.03.19.00-00,Halogenated derivatives of hydrocarbons. - Saturated chlorinated derivatives of acyclic hydrocarbons: - Other
29.03.21.00-00,Halogenated derivatives of hydrocarbons. - Unsaturated chlorinated derivatives of acyclic hydrocarbons: - Vinyl chloride (chloroethylene)
29.03.22.00-00,Halogenated derivatives of hydrocarbons. - Unsaturated chlorinated derivatives of acyclic hydrocarbons: - Trichloroethylene
29.03.23.00-00,Halogenated derivatives of hydrocarbons. - Unsaturated chlorinated derivatives of acyclic hydrocarbons: - Tetrachloroethylene (perchloroethylene)
29.03.29.00-00,Halogenated derivatives of hydrocarbons. - Unsaturated chlorinated derivatives of acyclic hydrocarbons: - Other
29.03.41.00-00,Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - Trifluoromethane (HFC-23)
29.03.42.00-00,Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - Difluoromethane (HFC-32)
29.03.43.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)"
29.03.44.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - Pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)"
29.03.45.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - 1,1,1,2-Tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)"
29.03.46.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - 1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)"
29.03.47.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - 1,1,1,3,3-Pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)"
29.03.48.00-00,"Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - 1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
29.03.49.00-00,Halogenated derivatives of hydrocarbons. - Saturated fluorinated derivatives of acyclic hydrocarbons: - Other
29.03.51.00-00,"Halogenated derivatives of hydrocarbons. - Unsaturated fluorinated derivatives of acyclic hydrocarbons: - 2,3,3,3-Tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)"
29.03.59.00,Halogenated derivatives of hydrocarbons. - Unsaturated fluorinated derivatives of acyclic hydrocarbons: - Other
29.03.59.00-20,"Halogenated derivatives of hydrocarbons. - Unsaturated fluorinated derivatives of acyclic hydrocarbons: - Other - 1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-prop-1-ene"
29.03.59.00-90,Halogenated derivatives of hydrocarbons. - Unsaturated fluorinated derivatives of acyclic hydrocarbons: - Other - Other
29.03.61.00-00,Halogenated derivatives of hydrocarbons. - Brominated or iodinated derivatives of acyclic hydrocarbons: - Methyl bromide (bromomethane)
29.03.62.00-00,"Halogenated derivatives of hydrocarbons. - Brominated or iodinated derivatives of acyclic hydrocarbons: - Ethylene dibromide (ISO) (1,2-dibromoethane)"
29.03.69.00-00,Halogenated derivatives of hydrocarbons. - Brominated or iodinated derivatives of acyclic hydrocarbons: - Other
29.03.71.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Chlorodifluoromethane (HCFC-22)
29.03.72.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Dichlorotrifluoroethanes (HCFC-123)
29.03.73.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Dichlorofluoroethanes (HCFC-141, 141b)"
29.03.74.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Chlorodifluoroethanes (HCFC-142, 142b)"
29.03.75.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Dichloropentafluoropropanes (HCFC-225, 225ca, 225cb)"
29.03.76.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301) and dibromotetrafluoroethanes (Halon-2402)"
29.03.77.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Other, perhalogenated only with fluorine and chlorine"
29.03.78.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Other perhalogenated derivatives
29.03.79.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: - Other
29.03.81.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - 1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
29.03.82.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"
29.03.83.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - Mirex (ISO)"
29.03.89.00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - Other"
29.03.89.00-10,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - Other - Hexabromocyclododecanes (HBCDs)"
29.03.89.00-90,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: - Other - Other"
29.03.91.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of aromatic hydrocarbons: - Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene"
29.03.92.00-00,"Halogenated derivatives of hydrocarbons. - Halogenated derivatives of aromatic hydrocarbons: - Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)"
29.03.93.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of aromatic hydrocarbons: - Pentachlorobenzene (ISO)
29.03.94.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of aromatic hydrocarbons: - Hexabromobiphenyls
29.03.99.00-00,Halogenated derivatives of hydrocarbons. - Halogenated derivatives of aromatic hydrocarbons: - Other
00.00.29.04,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated."
29.04.10.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Derivatives containing only sulpho groups, their salts and ethyl esters"
29.04.20.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Derivatives containing only nitro or only nitroso groups"
29.04.31.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Perfluorooctane sulphonic acid"
29.04.32.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Ammonium perfluorooctane sulphonate"
29.04.33.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Lithium perfluorooctane sulphonate"
29.04.34.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Potassium perfluorooctane sulphonate"
29.04.35.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Other salts of perfluorooctane sulphonic acid"
29.04.36.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride: - Perfluorooctane sulphonyl fluoride"
29.04.91.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Other: - Trichloronitromethane (chloropicrin)"
29.04.99.00-00,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated. - Other: - Other"
00.00.29.05,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives."
29.05.11.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Methanol (methyl alcohol)"
29.05.12.00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)"
29.05.12.00-10,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol) - Propan-1-ol"
29.05.12.00-20,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol) - Propan-2-ol"
29.05.13.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Butan-1-ol (n-butyl alcohol)"
29.05.14.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Other butanols"
29.05.16.00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Octanol (octyl alcohol) and isomers thereof"
29.05.16.00-20,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Octanol (octyl alcohol) and isomers thereof - 2-Ethyl-1-hexanol"
29.05.16.00-90,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Octanol (octyl alcohol) and isomers thereof - Other"
29.05.17.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)"
29.05.19.00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Other"
29.05.19.00-50,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Other - 3,3-Dimethylbutan-2-ol (pinacolyl alcohol)"
29.05.19.00-90,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Saturated monohydric alcohols: - Other - Other"
29.05.22.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Unsaturated monohydric alcohols: - Acyclic terpene alcohols"
29.05.29.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Unsaturated monohydric alcohols: - Other"
29.05.31.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Diols: - Ethylene glycol (ethanediol)"
29.05.32.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Diols: - Propylene glycol (propane-1,2-diol)"
29.05.39.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Diols: - Other"
29.05.41.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - 2-Ethyl-2-(hydroxymethyl) propane-1,3-diol (trimethylolpropane)"
29.05.42.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Pentaerythritol"
29.05.43.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Mannitol"
29.05.44.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - D-glucitol (sorbitol)"
29.05.45.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Glycerol"
29.05.49.00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Other"
29.05.49.00-10,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Other - Esters of glycerol, formed with acids of heading 29.04"
29.05.49.00-90,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Other polyhydric alcohols: - Other - Other"
29.05.51.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols: - Ethchlorvynol (INN)"
29.05.59.00-00,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols: - Other"
00.00.29.06,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives."
29.06.11.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Cyclanic, cyclenic or cycloterpenic: - Menthol"
29.06.12.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Cyclanic, cyclenic or cycloterpenic: - Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"
29.06.13.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Cyclanic, cyclenic or cycloterpenic: - Sterols and inositols"
29.06.19.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Cyclanic, cyclenic or cycloterpenic: - Other"
29.06.21.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Aromatic: - Benzyl alcohol"
29.06.29.00-00,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives. - Aromatic: - Other"
00.00.29.07,Phenols; phenol-alcohols.
29.07.11.00-00,Phenols; phenol-alcohols. - Monophenols: - Phenol (hydroxybenzene) and its salts
29.07.12.00-00,Phenols; phenol-alcohols. - Monophenols: - Cresols and their salts
29.07.13.00-00,"Phenols; phenol-alcohols. - Monophenols: - Octylphenol, nonylphenol and their isomers; salts thereof"
29.07.15.00-00,Phenols; phenol-alcohols. - Monophenols: - Naphthols and their salts
29.07.19.00-00,Phenols; phenol-alcohols. - Monophenols: - Other
29.07.21.00-00,Phenols; phenol-alcohols. - Polyphenols; phenol-alcohols: - Resorcinol and its salts
29.07.22.00-00,Phenols; phenol-alcohols. - Polyphenols; phenol-alcohols: - Hydroquinone (quinol) and its salts
29.07.23.00-00,"Phenols; phenol-alcohols. - Polyphenols; phenol-alcohols: - 4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts"
